Tender,Company,Procurement,Notice,Location,Closing,Value,Date
RFQ For the Provision of Employee Benefits Package,None,Opportunity,Open,North West,"14 September 2023,  5pm","£28,000","17 August 2023, last edited 18 August 2023"
Purchase of Differential Scanning Calorimeter,None,Opportunity,Open,EN6 3QG,"20 September 2023, 10am","£80,000",18 August 2023
Ventilated Fume Hood,None,Opportunity,Open,SP4 0JG,"22 September 2023,  5pm",£0,"18 August 2023, last edited 18 August 2023"
CO0300 Leading Greater Essex,None,Opportunity,Open,England,"18 September 2023, 12pm","£330,000",18 August 2023
Gecko Creation Space - Multi Discipline Consultant,None,Opportunity,Open,IP1 2DE,"18 September 2023, 11am","£0 to £100,000","18 August 2023, last edited 18 August 2023"
Weelsby Hall heritage project Design Team,None,Opportunity,Open,DN32 9RU,"18 September 2023, 12pm","£200,000",18 August 2023
HCC 08/23 - Provision of Hospital and Community Navigation Service,None,Opportunity,Open,SG13 8DE,"9 October 2023, 12pm","£8,813,780","16 August 2023, last edited 18 August 2023"
CA12738 - Paradigm Trust - IT Support Services,None,Opportunity,Open,E14 0PT,"19 September 2023,  5pm",£0,18 August 2023
Refurbishment of ACCU Sluice Room on Level 8 of Yeovil Hospital Site,None,Opportunity,Open,England,"19 September 2023, 12pm","£60,000",18 August 2023
Access Services and Insulation (ASI),None,Opportunity,Open,CA20 1PG,"25 September 2023, 12pm","£95,000,000",18 August 2023
Maintenance and Repair of Fixed Lifting Equipment (Hoists and Lifts) in domestic settings,None,Opportunity,Open,East Midlands,"18 September 2023, 12pm","£350,000 to £490,000","18 August 2023, last edited 18 August 2023"
708917450 - CFO - Purchase of Large Box Vans for British Forces Cyprus,None,Opportunity,Open,Any region,"21 September 2023, 11am","£208,000",18 August 2023
The Connectivity Programme: Network Upgrade,None,Opportunity,Open,SN2 2EH,"18 September 2023,  5pm","£100,000 to £300,000","18 August 2023, last edited 18 August 2023"
Laser Particle Size Analyser,None,Opportunity,Open,Any region,"18 September 2023,  3pm","£0 to £46,400",18 August 2023
1582 Library services for NHS Arden and Greater East Midlands CSU,None,Opportunity,Open,DE1 3QT,"11 September 2023,  5pm","£0 to £60,000",18 August 2023
ITT - VNA WR3.4 Frequency Extenders 220-330 GHz,None,Opportunity,Open,TW11 0LW,"18 September 2023,  3pm",£0,18 August 2023
Delivery Partner for the Overseas Registrants Exam - Part 1 - Computer Based Exam,None,Opportunity,Open,Any region,"31 January 2024, 12am","£3,000,000",18 August 2023
CA12742 - Creative Education Trust - Building Cleaning Services,None,Opportunity,Open,WC1A 2QR,"18 September 2023, 10am",£0,18 August 2023
Dudley Holiday Activities & Food Programme 2023,None,Opportunity,Open,DY1 1HF,"18 September 2023,  1pm","£0 to £290,000","18 August 2023, last edited 18 August 2023"
North Tyneside Integrated Musculoskeletal Service (NTIMS).,None,Opportunity,Open,North East,"20 September 2023, 12pm","£8,509,004",18 August 2023
CWR 23-01 - Recycling Materials Broker Services,None,Opportunity,Open,United Kingdom,"15 September 2023,  1pm","£1,000,000",18 August 2023
Provision of Insurance and related services to Pickering & Ferens Homes,None,Opportunity,Open,Any region,"18 September 2023,  5pm","£2,739,000",18 August 2023
Purchase of Small Hatchback Vehicles for British Forces Cyprus,None,Opportunity,Open,Any region,"26 September 2023, 11am","£100,100",18 August 2023
A Framework Agreement for the Provision of Independent Fostering Agency (IFA) Services,None,Opportunity,Open,"South East, South West, Wales","2 November 2023, 12pm","£400,000,000 to £750,000,000","28 July 2021, last edited 18 August 2023"
Window Replacement Programme - Barr Lodge & Bond Close,None,Opportunity,Open,London,"18 September 2023,  1pm","£400,000",18 August 2023
Accounts Payable Automation (Early Engagement),None,Early engagement,Open,East Midlands,11 September 2023,"Publication date17 August 2023, last edited 18 August 2023",None
Dynamic Purchasing System (DPS) for the provision of goods and services to drive social impact and improvement,None,Opportunity,Open,Any region,"15 August 2029, 12am","£1 to £500,000,000",17 August 2023
UKRI-3267 Scope 3 emissions report,None,Opportunity,Open,East of England,"18 September 2023,  3pm","£220,000",17 August 2023
Technology Enabled Lives Framework - 23-27,None,Opportunity,Open,Any region,"18 September 2023,  5pm","£300,000,000",17 August 2023
Tier 2 Weight Management Service Lots 1 & 2,None,Opportunity,Open,Yorkshire and the Humber,"21 September 2023, 12pm",£0,17 August 2023
"Information, Advice and Guidance (IAG) Provision",None,Opportunity,Open,W8 7NX,"16 October 2023,  4pm",£0,17 August 2023
Capital Works (Building Works) - Market Engagement Event,None,Opportunity,Open,Yorkshire and the Humber,"10 October 2023, 12am",£0,17 August 2023
"Framework for the Provision of Removal, Encapsulation and Enclosure of Asbestos Containing Materials",None,Opportunity,Open,OX1 1BX,"18 September 2023, 12pm","£0 to £1,000,000",17 August 2023
ITT - 127555 4-Port 10MHz - 50GHz Vector Network Analyser (VNA),None,Opportunity,Open,TW11 0LW,"18 September 2023,  3pm","£175,000",17 August 2023
THE PROVISION OF FLUORINATED GAS (CAT 1) TRAINING - CN,None,Opportunity,Open,PO2 8BY,"18 September 2023, 10am","£136,000",17 August 2023
Street Lighting Improvements Works  Contract 2023 - 2024,None,Opportunity,Open,England,"22 September 2023, 12pm","£300,000 to £360,000",17 August 2023
Regulated Accommodation and Support (P-008348/C-012947),None,Opportunity,Open,North East,"20 September 2023,  5pm",£0.01,17 August 2023
Unregulated Accommodation and Support (P-008347/C-012946),None,Opportunity,Open,North East,"20 September 2023,  5pm",£0.01,17 August 2023
P5890 - London Fruit & Wool Exchange Employment & Skills Centre Delivery Partner/s,None,Opportunity,Open,England,"18 September 2023, 12pm",£0,17 August 2023
Microbiology Managed Service Contract,None,Early engagement,Open,B15 2GW,22 September 2023,Publication date17 August 2023,None
Data Partner for Data Platform,None,Opportunity,Open,Yorkshire and the Humber,"20 September 2023,  1pm","£200,000",17 August 2023
Evaluation of the 50+ element of the Progression Towards Inclusive Employment in Greater Manchester pilot,None,Opportunity,Open,England,"11 September 2023,  5pm","£175,000 to £200,000","1 August 2023, last edited 17 August 2023"
Warrington Cycle Hub,None,Opportunity,Open,England,"27 September 2023, 12pm","£150,000",17 August 2023
National Framework Agreement for Non-Wire Lesion Localisation & Sentinel Lymph Node Location Products 2023,None,Opportunity,Open,Any region,"20 September 2023,  2pm",£1,17 August 2023
People Management Learning Programme,None,Opportunity,Open,England,"29 September 2023, 11:30pm","£94,500",17 August 2023
"Artwork and Graphic Production of the Spurn Lightship, Hull.",None,Opportunity,Open,HU1 2AA,"19 September 2023, 12pm","£44,420",17 August 2023
Scaffolding and associated services,None,Opportunity,Open,Yorkshire and the Humber,"22 September 2023, 12pm","£5,000,000",17 August 2023
Talk Matters Programme Evaluation &Learning Partner,None,Opportunity,Open,London,"18 September 2023, 12pm",£0,17 August 2023
"Life Support Services for the British Embassy Office Tripoli, Libya",None,Opportunity,Open,Any region,"20 September 2023,  5pm","£4,400,000",17 August 2023
External clean/treatment - The Watermark Building,None,Opportunity,Open,PL21 0SZ,"11 September 2023, 12pm",£1,"31 July 2023, last edited 17 August 2023"
ES1646 - Supply and Installation of Air Quality Monitoring Equipment,None,Opportunity,Open,United Kingdom,"20 September 2023,  2pm","£181,000",17 August 2023
Security Provision for the Ice Rink,None,Opportunity,Open,England,"14 September 2023, 12pm",£0,17 August 2023
Reservoir Act Compliance Enforcement application (RACE2),None,Opportunity,Open,BS1 5TL,"19 September 2023, 11:45pm","£1,500,000 to £2,500,000",17 August 2023
Tenant Satisfaction Survey,None,Opportunity,Open,AL8 6AE,"15 September 2023, 12pm","£20,000 to £40,000","17 August 2023, last edited 17 August 2023"
West Mercia Estate Preferred Contractor Framework (PCF),None,Opportunity,Open,WR3 8SP,"18 September 2023, 12pm","£0 to £15,000,000",17 August 2023
To supply a managed service for Christmas lighting,None,Opportunity,Open,TA1 1HE,"30 September 2023,  5pm","£105,000 to £140,000","31 July 2023, last edited 17 August 2023"
PLACE428H Winter Operatives,None,Opportunity,Open,United Kingdom,"18 September 2023, 11am","£0 to £450,000",17 August 2023
Play Spaces Upgrade,None,Opportunity,Open,SP78LY,"18 September 2023, 12pm","£90,000",17 August 2023
Framework for the provision of Best Interest Assessors,None,Opportunity,Open,East Midlands,"18 September 2023, 10am","£300,000 to £400,000",17 August 2023
"Internal & External Audit, Service Charge Audit & Tax Advice",None,Opportunity,Open,East of England,"18 September 2023, 10am","£850,000",17 August 2023
UOW915 - Event Management Services,None,Opportunity,Open,WR2 6AJ,"31 December 2023, 12pm",£0,17 August 2023
Littledown Leisure Centre - Flumes Removal,None,Opportunity,Open,South West,"28 September 2023,  2pm","£110,000 to £150,000",17 August 2023
Provision of Hillingdon Homeless Employment Support Programme (HHESP),None,Opportunity,Open,UB8 1UW,"18 September 2023,  1pm","£215,000",17 August 2023
Limes Avenue Landscaping for Climate Adaptations - London Borough of Sutton,None,Opportunity,Open,United Kingdom,"11 September 2023, 12pm",£0,17 August 2023
Wheelchair Service,None,Opportunity,Open,ME15 6NB,"13 September 2023, 12pm","£39,200,000",17 August 2023
NCC1055 - Removal and Translocation of Wansbeck Boating Pontoon,None,Opportunity,Open,North East,"15 September 2023, 11:59pm","£100,000","14 July 2023, last edited 17 August 2023"
Y23065 Software Products and Associated Services,None,Opportunity,Open,Any region,"27 October 2023,  2pm","£800,000,000",17 August 2023
Review of capability of methods for the verification of country of origin,None,Opportunity,Open,YO1 7PR,"11 September 2023, 12pm","£1 to £60,000","3 August 2023, last edited 17 August 2023"
New Approach Methodologies (NAMs) to Support Regulatory Decisions for Chemical Safety,None,Opportunity,Open,YO1 7PR,"18 September 2023, 12pm","£1 to £100,000","7 August 2023, last edited 17 August 2023"
14a Trelawney Estate Frogpool - Disabled Adaption Works,None,Opportunity,Open,England,"11 September 2023,  2pm","£30,000",17 August 2023
Fallings Heath Cemetery Toilet Block,None,Opportunity,Open,B69 3DE,"11 September 2023,  5pm",£0,17 August 2023
Highway Works Multiple Lots Framework - HDG/2023/461,None,Opportunity,Open,England,"21 September 2023, 12pm","£16,000,000",17 August 2023
International Way,None,Opportunity,Open,South East,"14 September 2023, 12pm","£160,000","15 August 2023, last edited 17 August 2023"
Conversion and Data Insights Services for the University of Birmingham,None,Opportunity,Open,B15 2TT,"15 September 2023, 12pm",£0,16 August 2023
Household set up service for resettlement properties in Herefordshire,None,Opportunity,Open,England,"15 September 2023, 12pm","£380,500","16 August 2023, last edited 16 August 2023"
Staff Learning Management System,None,Early engagement,Open,HP20 1BD,18 September 2023,Publication date16 August 2023,None
Connexus Major Asset Works Framework,None,Opportunity,Open,West Midlands,"15 September 2023, 12pm",£0,16 August 2023
Air Conditioning & Refrigeration Maintenance Services,None,Opportunity,Open,S5 7AU,"18 September 2023, 12pm","£300,000",16 August 2023
Selective Licensing Property Inspections,None,Opportunity,Open,OX1 1BX,"29 September 2023, 12pm",£0,16 August 2023
Secure collection of High-Risk High Value (HRHV) Goods,None,Opportunity,Open,SW1P 4DF,"27 September 2023,  5pm","£4,900,000",16 August 2023
Provision of Water Rescue Training - MODULE 3 Facility and Related Services,None,Opportunity,Open,RG317SD,"13 September 2023, 10am","£0 to £90,000",16 August 2023
Tender for a Framework Agreement for the Provision of Geometric Surveying and BIM Modelling Services,None,Opportunity,Open,B152TT,"18 September 2023,  3pm","£2,000,000",16 August 2023
Sea Road Market Engagement Event,None,Opportunity,Open,Yorkshire and the Humber,"11 September 2023,  1pm",£0,16 August 2023
Overall Redesign and Implementation of Our Network (ORION) - Supplier Engagement Event,None,Future opportunity,Open,South West,Approach to market date8 December 2023,"£3,000,000 to £5,000,000",16 August 2023
Papplewick Pumping Station conservation works,None,Opportunity,Open,East Midlands,"20 September 2023, 12am","£475,000",16 August 2023
CPU 6048 Central Library Cafe Operator Concession,None,Opportunity,Open,East Midlands,"15 September 2023, 12pm","£0 to £300,000",16 August 2023
Dudley Child Vision Screening,None,Opportunity,Open,DY1 1HF,"14 September 2023,  1pm",£0,"16 August 2023, last edited 16 August 2023"
GB-Swindon: UKRI-3132 AHRC Impact Evaluation for World Class Labs Investment,None,Opportunity,Open,South West,"13 September 2023, 11am","£50,000 to £100,000",16 August 2023
PA2 Feasibility Study Consultancy,None,Opportunity,Open,South East,"13 September 2023, 12pm","£70,000 to £100,000",16 August 2023
Domestic Abuse By and For Services,None,Opportunity,Open,England,"18 September 2023, 10am","£1,000 to £500,000",16 August 2023
Cornwall Community Equipment Loan Service (CELS),None,Opportunity,Open,United Kingdom,"3 October 2023, 11:59pm","£126,000,000",16 August 2023
TV Licensing Postal Services,None,Opportunity,Open,Any region,"25 September 2023, 11am","£158,000,000",16 August 2023
Pre-Market Engagement for a Bereavement Services Solution,None,Early engagement,Open,United Kingdom,14 September 2023,Publication date16 August 2023,None
NHS South Yorkshire ICB Sheffield place :Sheffield Extended Pharmacy Service,None,Opportunity,Open,S9 4EU,"18 September 2023, 12pm","£0 to £825,000","16 August 2023, last edited 16 August 2023"
NW2023-13 Talking Therapies Market Engagement - NHS Norfolk and Waveney ICB,None,Early engagement,Open,NR1 2DH,22 September 2023,Publication date16 August 2023,None
Provision of Resurfacing at Tees and Hartlepool Dock,None,Opportunity,Open,TS2 1AH,"15 September 2023,  1pm",£0,"16 August 2023, last edited 16 August 2023"
"Property Structural Repairs and Underpinning, Thorpe le Soken",None,Opportunity,Open,England,"15 September 2023, 12pm","£50,000 to £100,000",16 August 2023
National Framework for Insider Threat Monitoring and Audit Software (ITMAS),None,Opportunity,Open,Any region,"18 September 2023, 12pm","£8,000,000 to £12,000,000",16 August 2023
